Profile ID	Gene	(Sub)Type specificity
cd09750	csa5gr11	CAS-I-A
cls000086	csa5gr11	CAS-I-A
cls000088	csa5gr11	CAS-I-A
cls000207	csa5gr11	CAS-I-A
cls002148	csa5gr11	CAS-I-A
mkCas0071	csa5gr11	CAS-I-A
mkCas0080	csa5gr11	CAS-I-A
mkCas0163	csa5gr11	CAS-I-A
pfam09702	csa5gr11	CAS-I-A
cd09670	cse2gr11	CAS-I-E
cd09731	cse2gr11	CAS-I-E
mkCas0096	cse2gr11	CAS-I-E
mkCas0171	cse2gr11	CAS-I-E
mkCas0194	cse2gr11	CAS-I-E
mkCas0196	cse2gr11	CAS-I-E
pfam09485	cse2gr11	CAS-I-E
mkCas0072	csf4gr11	CAS-IV
mkCas0181	csf4gr11	CAS-IV
mkCas0184	csf4gr11	CAS-IV
cd09647	csm2gr11	CAS-III-A
cls001490	csm2gr11	CAS-III-A
COG1421	csm2gr11	CAS-III-A
mkCas0063	csm2gr11	CAS-III-D
mkCas0077	csm2gr11	CAS-III-D
mkCas0079	csm2gr11	CAS-III-D
mkCas0099	csm2gr11	CAS-III-D
mkCas0101	csm2gr11	CAS-III-D
mkCas0120	csm2gr11	CAS-III-D
mkCas0136	csm2gr11	CAS-III-A
mkCas0157	csm2gr11	CAS-III-A
mkCas0186	csm2gr11	CAS-III-A
mkCas0187	csm2gr11	CAS-III-A
pfam03750	csm2gr11	CAS-III-A
mkCas0152	cmr7	CAS-III-B
cd09764	csb3	CAS-I-U
mkCas0159	csf5gr6	CAS-IV
cls000059	csx19	CAS-III-D
cls001376	csx19	CAS-III-D
mkCas0121	csx19	CAS-III-D
mkCas0122	csx19	CAS-III-D
mkCas0123	csx19	CAS-III-D
mkCas0124	csx19	CAS-III-D
mkCas0132	csx19	CAS-III-D
mkCas0137	csx19	CAS-III-D
mkCas0144	csx19	CAS-III-D
mkCas0145	csx19	CAS-III-D
mkCas0147	csx19	CAS-III-D
mkCas0149	csx19	CAS-III-D
